Date	Army	Disease	Wounds	Other
1	1854-04-01	8571	1	0	5
2	1854-05-01	23333	12	0	9
3	1854-06-01	28333	11	0	6
4	1854-07-01	28722	359	0	23
5	1854-08-01	30246	828	1	30
6	1854-09-01	30290	788	81	70
7	1854-10-01	30643	503	132	128
8	1854-11-01	29736	844	287	106
9	1854-12-01	32779	1725	114	131
10	1855-01-01	32393	2761	83	324
11	1855-02-01	30919	2120	42	361
12	1855-03-01	30107	1205	32	172
13	1855-04-01	32252	477	48	57
14	1855-05-01	35473	508	49	37
15	1855-06-01	38863	802	209	31
16	1855-07-01	42647	382	134	33
17	1855-08-01	44614	483	164	25
18	1855-09-01	47751	189	276	20
19	1855-10-01	46852	128	53	18
20	1855-11-01	37853	178	33	32
21	1855-12-01	43217	91	18	28
22	1856-01-01	44212	42	2	48
23	1856-02-01	43485	24	0	19
24	1856-03-01	46140	15	0	35
